12:01:02.0	POWER
12:01:04.0	POWER
12:01:06.0	POWER
12:01:20.0	EVENT PARIND
12:01:25.0	NEWRUN
12:02:00.0	TOG 1
12:02:04.0	TOG 2
12:02:05.0	TOG 3
12:02:06.0	TOG 4
12:02:10.0	NUM 234
12:02:25.0	NUM 315
12:02:50.0	TRIG 1
12:02:52.0	TRIG 3
12:03:35.0	TRIG 2
12:03:55.0	TRIG 4
12:04:50.0	PRINT
12:06:00.0	ENDRUN
12:06:10.0	NEWRUN
12:07:20.0	EVENT PARIND
12:08:10.0	NUM 234
12:08:25.0	NUM 315
12:08:50.0	TRIG 1
12:08:52.0	DNF
12:09:35.0	TRIG 3
12:09:55.0	TRIG 4
12:10:50.0	PRINT
12:11:00.0	ENDRUN
12:11:10.0	NEWRUN
12:11:20.0	EVENT PARIND
12:12:10.0	NUM 234
12:12:25.0	NUM 315
12:12:50.0	TRIG 1
12:12:52.0	CANCEL
12:13:35.0	TRIG 3
12:13:55.0	TRIG 4
12:14:50.0	PRINT
12:15:00.0	ENDRUN
13:00:00.0	NEWRUN
13:01:00.0	EVENT IND
13:02:10.0	NUM 167
13:02:15.0	NUM 166
13:02:20.0	NUM 200
13:02:25.0	NUM 201
13:04:30.0	TRIG 1
13:05:00.0	TRIG 1
13:05:02.0	TRIG 2
13:05:15.0	TRIG 2
13:05:18.0	TRIG 4
13:05:19.0	PRINT
13:05:21.2	ENDRUN
13:05:25.3	POWER
13:05:26.3	POWER
13:06:00.0	NEWRUN
13:35:52.0	POWER
13:35:55.0	EXIT
