12:01:02.0	POWER
12:01:04.0	POWER
12:01:06.0	POWER
12:01:20.0	EVENT PARIND
12:01:25.0	NEWRUN
12:02:10.0	NUM 234
12:02:15.0	NUM 315
12:02:20.0	TOG 1
12:02:22.0	TOG 2
12:02:24.0	TOG 3
12:02:26.0	TOG 4
12:02:50.0	TRIG 1
12:02:52.0	TRIG 3
12:03:35.0	TRIG 2
12:03:55.0	TRIG 4
12:04:50.0	PRINT
12:06:00.0	ENDRUN
12:06:10.0	NEWRUN
12:07:20.0	EVENT IND
12:08:10.0	NUM 234
12:08:12.0	NUM 237
12:08:14.0	NUM 302
12:08:16.0	NUM 303
12:08:18.0	NUM 304
12:08:20.0	NUM 305
12:08:22.0	NUM 315
12:08:24.0	TOG 1
12:08:26.0	TOG 2
12:08:50.0	TRIG 1
12:09:00.0	TRIG 3
12:09:05.0	TRIG 4
12:09:10.0	CANCEL
12:09:13.0	TRIG 1
12:09:20.0	TRIG 2
12:09:22.0	TRIG 1
12:09:24.0	TRIG 2
12:09:28.0	TRIG 1
12:09:32.0	TRIG 1
12:09:35.0	TRIG 1
12:09:38.0	DNF
12:09:40.0	TRIG 1
12:09:41.0	TRIG 1
12:09:43.0	SWAP
12:09:45.0	TRIG 2
12:09:45.3	TRIG 2
12:09:47.0	TRIG 2
12:10:50.0	PRINT
12:11:00.0	ENDRUN
12:11:10.0	NEWRUN
12:11:20.0	EVENT GRP
12:12:10.0	NUM 234
12:12:12.0	NUM 237
12:12:12.0	NUM 238
12:12:12.0	NUM 303
12:12:12.0	NUM 308
12:12:12.0	NUM 315
12:12:14.0	TOG 1
12:12:16.0	TOG 2
12:12:50.0	TRIG 1
12:12:57.0	TRIG 2
12:12:57.5	TRIG 2
12:13:05.0	TRIG 2
12:13:08.0	TRIG 2
12:13:08.9	TRIG 2
12:13:12.0	TRIG 2
12:13:35.0	TRIG 3
12:13:55.0	TRIG 4
12:14:50.0	PRINT
12:15:00.0	ENDRUN
12:15:25.3	POWER
12:15:26.3	POWER
13:01:00.0	EVENT PARGRP
13:01:01.0	NEWRUN
13:02:10.0	NUM 234
13:02:12.0	NUM 235
13:02:14.0	NUM 236
13:02:16.0	NUM 237
13:02:18.0	NUM 303
13:02:20.0	NUM 315
13:02:23.0	TOG 1
13:02:25.0	TOG 2
13:02:27.0	TOG 3
13:02:29.0	TOG 4
13:02:31.0	TOG 5
13:02:33.0	TOG 6
13:02:35.0	TOG 7
13:02:37.0	TOG 8
13:02:45.0	TRIG 1
13:02:58.0	TRIG 8
13:03:00.0	TRIG 3
13:03:03.0	TRIG 6
13:03:04.0	TRIG 7
13:03:08.0	TRIG 1
13:03:10.0	TRIG 2
13:03:13.0	TRIG 4
13:03:13.2	TRIG 5
13:05:19.0	PRINT
13:05:21.2	ENDRUN
13:05:25.3	POWER
13:05:26.3	POWER
13:06:00.0	NEWRUN
13:35:52.0	POWER
13:35:55.0	EXIT
